City,Latitude,Longitude,Sensor Parameter,Unit,Month Start (UTC),Month End (UTC),Monthly Average,Minimum Value,Maximum Value,Median Value,Standard Deviation
Toronto Downtown,43.64543,-79.38908,NO,ppm,2023-07-01 04:00:00+00:00,2023-08-01 04:00:00+00:00,0.00499,0.0,0.051,0.003,0.005805277019578434
Toronto Downtown,43.64543,-79.38908,NO,ppm,2023-08-01 04:00:00+00:00,2023-09-01 04:00:00+00:00,0.00523,0.0,0.088,0.003,0.006859034727776294
Toronto Downtown,43.64543,-79.38908,NO,ppm,2023-09-01 04:00:00+00:00,2023-10-01 04:00:00+00:00,0.00513,0.0,0.05,0.003,0.005831451436652316
Toronto Downtown,43.64543,-79.38908,NO,ppm,2023-10-01 04:00:00+00:00,2023-11-01 04:00:00+00:00,0.00604,0.0,0.079,0.004,0.007726692579453811
Toronto Downtown,43.64543,-79.38908,NO,ppm,2023-11-01 04:00:00+00:00,2023-12-01 05:00:00+00:00,0.00643,0.001,0.194,0.004,0.012359001712907254
Toronto Downtown,43.64543,-79.38908,NO,ppm,2023-12-01 05:00:00+00:00,2024-01-01 05:00:00+00:00,0.00554,0.001,0.041,0.004,0.005082845973785297
Toronto Downtown,43.64543,-79.38908,NO,ppm,2024-01-01 05:00:00+00:00,2024-02-01 05:00:00+00:00,0.00571,0.001,0.044,0.004,0.005395597810984661
Toronto Downtown,43.64543,-79.38908,NO,ppm,2024-02-01 05:00:00+00:00,2024-03-01 05:00:00+00:00,0.00524,0.0,0.116,0.003,0.008840660619488537
Toronto Downtown,43.64543,-79.38908,NO,ppm,2024-03-01 05:00:00+00:00,2024-04-01 04:00:00+00:00,0.00762,0.0,0.228,0.003,0.017341968826632182
Toronto Downtown,43.64543,-79.38908,NO,ppm,2024-04-01 04:00:00+00:00,2024-05-01 04:00:00+00:00,0.00573,0.0,0.151,0.003,0.009572723595562391
Toronto Downtown,43.64543,-79.38908,NO,ppm,2024-05-01 04:00:00+00:00,2024-06-01 04:00:00+00:00,0.00764,0.0,0.108,0.004,0.011235802324063146
Toronto Downtown,43.64543,-79.38908,NO,ppm,2024-06-01 04:00:00+00:00,2024-07-01 04:00:00+00:00,0.00573,0.0,0.082,0.003,0.008182934854633589
Toronto Downtown,43.64543,-79.38908,NO,ppm,2024-07-01 04:00:00+00:00,2024-08-01 04:00:00+00:00,0.00445,0.001,0.071,0.003,0.005128799992742209
Toronto Downtown,43.64543,-79.38908,NO,ppm,2024-08-01 04:00:00+00:00,2024-09-01 04:00:00+00:00,0.00481,0.0,0.043,0.003,0.0051401431546022
Toronto Downtown,43.64543,-79.38908,NO,ppm,2024-09-01 04:00:00+00:00,2024-10-01 04:00:00+00:00,0.00688,0.0,0.12,0.004,0.011231432467130773
Toronto Downtown,43.64543,-79.38908,NO,ppm,2024-10-01 04:00:00+00:00,2024-11-01 04:00:00+00:00,0.00519,0.0,0.1,0.003,0.00839158084686634
Toronto Downtown,43.64543,-79.38908,NO,ppm,2024-11-01 04:00:00+00:00,2024-12-01 05:00:00+00:00,0.00522,0.0,0.064,0.004,0.004896891248227109
Toronto Downtown,43.64543,-79.38908,NO,ppm,2024-12-01 05:00:00+00:00,2025-01-01 05:00:00+00:00,0.00693,0.001,0.088,0.004,0.008767714398479749
Toronto Downtown,43.64543,-79.38908,NO,ppm,2025-01-01 05:00:00+00:00,2025-02-01 05:00:00+00:00,0.00506,0.001,0.061,0.003,0.005604152852055333
Toronto Downtown,43.64543,-79.38908,NO,ppm,2025-02-01 05:00:00+00:00,2025-03-01 05:00:00+00:00,0.00568,0.001,0.071,0.004,0.0063065501437730995
Toronto Downtown,43.64543,-79.38908,NO,ppm,2025-03-01 05:00:00+00:00,2025-04-01 04:00:00+00:00,0.00695,0.001,0.111,0.003,0.012387899739429307
Toronto Downtown,43.64543,-79.38908,NO₂,ppm,2023-07-01 04:00:00+00:00,2023-08-01 04:00:00+00:00,0.0143,0.004,0.044,0.012,0.007554507333793699
Toronto Downtown,43.64543,-79.38908,NO₂,ppm,2023-08-01 04:00:00+00:00,2023-09-01 04:00:00+00:00,0.013,0.002,0.053,0.011,0.007432622951540491
Toronto Downtown,43.64543,-79.38908,NO₂,ppm,2023-09-01 04:00:00+00:00,2023-10-01 04:00:00+00:00,0.0119,0.003,0.036,0.010499999999999999,0.0059778119199856315
Toronto Downtown,43.64543,-79.38908,NO₂,ppm,2023-10-01 04:00:00+00:00,2023-11-01 04:00:00+00:00,0.012,0.001,0.047,0.01,0.007466541487326322
Toronto Downtown,43.64543,-79.38908,NO₂,ppm,2023-11-01 04:00:00+00:00,2023-12-01 05:00:00+00:00,0.0131,0.004,0.047,0.012,0.0058983002705925
Toronto Downtown,43.64543,-79.38908,NO₂,ppm,2023-12-01 05:00:00+00:00,2024-01-01 05:00:00+00:00,0.0135,0.005,0.033,0.012,0.005020925527410102
Toronto Downtown,43.64543,-79.38908,NO₂,ppm,2024-01-01 05:00:00+00:00,2024-02-01 05:00:00+00:00,0.014,0.004,0.034,0.013,0.0056103071249828254
Toronto Downtown,43.64543,-79.38908,NO₂,ppm,2024-02-01 05:00:00+00:00,2024-04-01 04:00:00+00:00,0.0109,0.001,0.055,0.008,0.009489821797723733
Toronto Downtown,43.64543,-79.38908,NO₂,ppm,2024-03-01 05:00:00+00:00,2024-04-01 04:00:00+00:00,0.0152,0.003,0.059,0.012,0.009964745537577905
Toronto Downtown,43.64543,-79.38908,NO₂,ppm,2024-04-01 04:00:00+00:00,2024-05-01 04:00:00+00:00,0.0145,0.003,0.058,0.012,0.009182917908448945
Toronto Downtown,43.64543,-79.38908,NO₂,ppm,2024-05-01 04:00:00+00:00,2024-06-01 04:00:00+00:00,0.0155,0.003,0.06,0.013,0.009371833555056722
Toronto Downtown,43.64543,-79.38908,NO₂,ppm,2024-06-01 04:00:00+00:00,2024-07-01 04:00:00+00:00,0.0137,0.002,0.058,0.011,0.009160531352995533
Toronto Downtown,43.64543,-79.38908,NO₂,ppm,2024-07-01 04:00:00+00:00,2024-08-01 04:00:00+00:00,0.0121,0.003,0.04,0.011,0.0060827654125940505
Toronto Downtown,43.64543,-79.38908,NO₂,ppm,2024-08-01 04:00:00+00:00,2024-09-01 04:00:00+00:00,0.0114,0.002,0.042,0.01,0.006527897363685212
Toronto Downtown,43.64543,-79.38908,NO₂,ppm,2024-09-01 04:00:00+00:00,2024-10-01 04:00:00+00:00,0.0137,0.002,0.051,0.011,0.00879092697173242
Toronto Downtown,43.64543,-79.38908,NO₂,ppm,2024-10-01 04:00:00+00:00,2024-11-01 04:00:00+00:00,0.0126,0.002,0.046,0.011,0.007442415603448811
Toronto Downtown,43.64543,-79.38908,NO₂,ppm,2024-11-01 04:00:00+00:00,2024-12-01 05:00:00+00:00,0.0121,0.003,0.042,0.011,0.0055062550428068196
Toronto Downtown,43.64543,-79.38908,NO₂,ppm,2024-12-01 05:00:00+00:00,2025-01-01 05:00:00+00:00,0.0152,0.003,0.043,0.014,0.00658177557766035
Toronto Downtown,43.64543,-79.38908,NO₂,ppm,2025-01-01 05:00:00+00:00,2025-02-01 05:00:00+00:00,0.0156,0.005,0.051,0.014,0.006947603762421791
Toronto Downtown,43.64543,-79.38908,NO₂,ppm,2025-02-01 05:00:00+00:00,2025-04-01 04:00:00+00:00,0.0179,0.006,0.044,0.016,0.007206487892991017
Toronto Downtown,43.64543,-79.38908,NO₂,ppm,2025-03-01 05:00:00+00:00,2025-04-01 04:00:00+00:00,0.0178,0.005,0.061,0.016,0.009921238055631748
Toronto Downtown,43.64543,-79.38908,NOx,ppm,2023-07-01 04:00:00+00:00,2023-08-01 04:00:00+00:00,0.0192,0.004,0.094,0.016,0.012080588040065484
Toronto Downtown,43.64543,-79.38908,NOx,ppm,2023-08-01 04:00:00+00:00,2023-09-01 04:00:00+00:00,0.0182,0.003,0.129,0.015,0.012699658905272306
Toronto Downtown,43.64543,-79.38908,NOx,ppm,2023-09-01 04:00:00+00:00,2023-10-01 04:00:00+00:00,0.0169,0.004,0.082,0.015,0.010531083272797526
Toronto Downtown,43.64543,-79.38908,NOx,ppm,2023-10-01 04:00:00+00:00,2023-11-01 04:00:00+00:00,0.018,0.002,0.116,0.014,0.013899150366874238
Toronto Downtown,43.64543,-79.38908,NOx,ppm,2023-11-01 04:00:00+00:00,2023-12-01 05:00:00+00:00,0.0195,0.005,0.24,0.016,0.016783488148783644
Toronto Downtown,43.64543,-79.38908,NOx,ppm,2023-12-01 05:00:00+00:00,2024-01-01 05:00:00+00:00,0.019,0.006,0.065,0.017,0.009233517031823358
Toronto Downtown,43.64543,-79.38908,NOx,ppm,2024-01-01 05:00:00+00:00,2024-02-01 05:00:00+00:00,0.0197,0.005,0.078,0.018,0.010033640402089773
Toronto Downtown,43.64543,-79.38908,NOx,ppm,2024-02-01 05:00:00+00:00,2024-03-01 05:00:00+00:00,0.0162,0.002,0.17,0.011,0.01704353394478313
Toronto Downtown,43.64543,-79.38908,NOx,ppm,2024-03-01 05:00:00+00:00,2024-04-01 04:00:00+00:00,0.0228,0.004,0.285,0.016,0.025225205571029027
Toronto Downtown,43.64543,-79.38908,NOx,ppm,2024-04-01 04:00:00+00:00,2024-05-01 04:00:00+00:00,0.0202,0.004,0.209,0.015,0.017113914402746306
Toronto Downtown,43.64543,-79.38908,NOx,ppm,2024-05-01 04:00:00+00:00,2024-06-01 04:00:00+00:00,0.0231,0.003,0.151,0.018,0.01856875834262489
Toronto Downtown,43.64543,-79.38908,NOx,ppm,2024-06-01 04:00:00+00:00,2024-07-01 04:00:00+00:00,0.0194,0.004,0.14,0.014,0.015494211620324223
Toronto Downtown,43.64543,-79.38908,NOx,ppm,2024-07-01 04:00:00+00:00,2024-08-01 04:00:00+00:00,0.0165,0.003,0.105,0.014,0.009940058356497701
Toronto Downtown,43.64543,-79.38908,NOx,ppm,2024-08-01 04:00:00+00:00,2024-09-01 04:00:00+00:00,0.0162,0.002,0.08,0.014,0.010476795829813626
Toronto Downtown,43.64543,-79.38908,NOx,ppm,2024-09-01 04:00:00+00:00,2024-10-01 04:00:00+00:00,0.0205,0.003,0.161,0.015,0.017978164887049453
Toronto Downtown,43.64543,-79.38908,NOx,ppm,2024-10-01 04:00:00+00:00,2024-11-01 04:00:00+00:00,0.0178,0.003,0.133,0.014,0.014084600139241425
Toronto Downtown,43.64543,-79.38908,NOx,ppm,2024-11-01 04:00:00+00:00,2024-12-01 05:00:00+00:00,0.0173,0.004,0.105,0.015,0.009595881437617478
Toronto Downtown,43.64543,-79.38908,NOx,ppm,2024-12-01 05:00:00+00:00,2025-01-01 05:00:00+00:00,0.0221,0.003,0.114,0.018,0.013930726574521896
