City,Latitude,Longitude,Sensor Parameter,Unit,Month Start (UTC),Month End (UTC),Monthly Average,Minimum Value,Maximum Value,Median Value,Standard Deviation
Toronto Downtown,43.64543,-79.38908,o₃,ppm,2022-10-01 04:00:00+00:00,2022-11-01 04:00:00+00:00,0.016,0.016,0.016,0.016,0.0
Toronto Downtown,43.64543,-79.38908,o₃,ppm,2023-05-01 04:00:00+00:00,2023-06-01 04:00:00+00:00,0.0307,0.001,0.082,0.032,0.012260581090963842
Toronto Downtown,43.64543,-79.38908,o₃,ppm,2023-06-01 04:00:00+00:00,2023-07-01 04:00:00+00:00,0.0294,0.002,0.064,0.029,0.011938927569300558
Toronto Downtown,43.64543,-79.38908,o₃,ppm,2023-07-01 04:00:00+00:00,2023-08-01 04:00:00+00:00,0.0381,0.008,0.075,0.038,0.012419041121704185
Toronto Downtown,43.64543,-79.38908,o₃,ppm,2023-08-01 04:00:00+00:00,2023-09-01 04:00:00+00:00,0.0347,0.01,0.065,0.034,0.010234161335362429
Toronto Downtown,43.64543,-79.38908,o₃,ppm,2023-09-01 04:00:00+00:00,2023-10-01 04:00:00+00:00,0.0272,0.001,0.072,0.027,0.012790446118938082
Toronto Downtown,43.64543,-79.38908,o₃,ppm,2023-10-01 04:00:00+00:00,2023-11-01 04:00:00+00:00,0.0187,0.0,0.064,0.017,0.010720157914543404
Toronto Downtown,43.64543,-79.38908,o₃,ppm,2023-11-01 04:00:00+00:00,2023-12-01 05:00:00+00:00,0.0189,-0.002,0.044,0.019,0.007849127476122613
Toronto Downtown,43.64543,-79.38908,o₃,ppm,2023-12-01 05:00:00+00:00,2024-01-01 05:00:00+00:00,0.0136,-0.004,0.054,0.013,0.008718691473195926
Toronto Downtown,43.64543,-79.38908,o₃,ppm,2024-01-01 05:00:00+00:00,2024-02-01 05:00:00+00:00,0.0174,-0.004,0.047,0.018,0.007950250420535628
Toronto Downtown,43.64543,-79.38908,o₃,ppm,2024-02-01 05:00:00+00:00,2024-04-01 04:00:00+00:00,0.0216,-0.004,0.045,0.022,0.008404998252554814
